YYYY-MM-DD,hh:mm:ss,air_temp,wind_direction,wind_speed,pressure
2014-02-16,20:10:42,-7.2577,77.0,2.8672,982.2
2014-02-16,20:10:47,-7.2834,77.0,2.9286,982.21
2014-02-16,20:10:52,-7.3043,77.0,2.6829,982.2
2014-02-16,20:10:57,-7.3195,45.0,2.6419,982.2
2014-02-16,20:11:02,-7.299,63.0,2.3757,982.2
2014-02-16,20:11:07,-7.2629,28.0,2.3962,982.21
2014-02-16,20:11:12,-7.2835,39.0,2.8877,982.24
2014-02-16,20:11:17,-7.33,49.0,4.0346,982.25
2014-02-16,20:11:22,-7.3507,41.0,4.1574,982.22
2014-02-16,20:11:27,-7.3714,34.0,4.0141,982.19
2014-02-16,20:11:32,-7.3973,39.0,3.8707,982.18
2014-02-16,20:11:37,-7.4641,36.0,3.9117,982.18
2014-02-16,20:11:42,-7.5105,41.0,4.3008,982.18
2014-02-16,20:11:47,-7.5311,48.0,5.0381,982.14
2014-02-16,20:11:52,-7.5363,49.0,4.8947,982.2
2014-02-16,20:11:57,-7.526,51.0,4.2803,982.2
2014-02-16,20:12:02,-7.5363,58.0,3.3587,982.2
2014-02-16,20:12:07,-7.5468,37.0,2.9082,982.21
2014-02-16,20:12:12,-7.5518,52.0,2.9491,982.2
2014-02-16,20:12:17,-7.5313,61.0,2.6419,982.22
2014-02-16,20:12:22,-7.521,55.0,3.3382,982.23
2014-02-16,20:12:27,-7.5106,70.0,3.8502,982.23
2014-02-16,20:12:32,-7.5053,64.0,3.9117,982.23
2014-02-16,20:12:37,-7.4641,54.0,3.4611,982.22
2014-02-16,20:12:42,-7.4383,60.0,3.5635,982.22
2014-02-16,20:12:47,-7.4278,61.0,3.3997,982.22
2014-02-16,20:12:52,-7.423,66.0,2.6419,982.22
2014-02-16,20:12:57,-7.4075,71.0,2.9491,982.22
2014-02-16,20:13:02,-7.4023,74.0,3.2154,982.23
2014-02-16,20:13:07,-7.4075,47.0,3.2154,982.22
2014-02-16,20:13:12,-7.3868,55.0,2.9491,982.23
2014-02-16,20:13:17,-7.3609,59.0,2.6829,982.23
2014-02-16,20:13:22,-7.3869,45.0,2.9491,982.22
2014-02-16,20:13:27,-7.423,43.0,3.1744,982.22
2014-02-16,20:13:32,-7.4228,58.0,4.2189,982.18
2014-02-16,20:13:37,-7.4282,61.0,3.9731,982.18
2014-02-16,20:13:42,-7.428,41.0,3.9526,982.19
2014-02-16,20:13:47,-7.4333,36.0,3.7478,982.17
2014-02-16,20:13:52,-7.4383,66.0,3.8502,982.18
2014-02-16,20:13:57,-7.4435,64.0,3.6045,982.16
2014-02-16,20:14:02,-7.4487,61.0,3.4611,982.18
2014-02-16,20:14:07,-7.4437,79.0,3.2768,982.21
2014-02-16,20:14:12,-7.4901,79.0,2.8672,982.2
2014-02-16,20:14:17,-7.5311,62.0,2.7853,982.17
2014-02-16,20:14:22,-7.5622,50.0,2.5805,982.19
2014-02-16,20:14:27,-7.5777,62.0,2.8467,982.17
2014-02-16,20:14:32,-7.588,59.0,2.6624,982.18
2014-02-16,20:14:37,-7.5984,47.0,2.0685,982.19
2014-02-16,20:14:42,-7.588,52.0,1.8022,982.19
2014-02-16,20:14:47,-7.588,67.0,1.8227,982.18
2014-02-16,20:14:52,-7.552,51.0,2.4166,982.18
2014-02-16,20:14:57,-7.5518,68.0,3.2973,982.17
2014-02-16,20:15:02,-7.5518,64.0,3.9936,982.17
2014-02-16,20:15:07,-7.5573,72.0,3.0515,982.13
2014-02-16,20:15:12,-7.557,65.0,3.3587,982.12
2014-02-16,20:15:17,-7.5261,60.0,4.2598,982.12
2014-02-16,20:15:22,-7.5313,63.0,4.9971,982.14
2014-02-16,20:15:27,-7.5261,62.0,4.8538,982.16
2014-02-16,20:15:32,-7.5312,65.0,4.4851,982.12
2014-02-16,20:15:37,-7.5363,62.0,4.2598,982.1
2014-02-16,20:15:42,-7.5365,66.0,4.1779,982.12
2014-02-16,20:15:47,-7.5467,56.0,3.543,982.09
2014-02-16,20:15:52,-7.5315,64.0,4.1165,982.11
2014-02-16,20:15:57,-7.557,65.0,4.7309,982.1
2014-02-16,20:16:02,-7.5725,56.0,4.8128,982.1
2014-02-16,20:16:07,-7.5982,62.0,4.5056,982.1
2014-02-16,20:16:12,-7.583,33.0,4.2189,982.08
2014-02-16,20:16:17,-7.588,50.0,3.9322,982.13
2014-02-16,20:16:22,-7.5518,52.0,3.8502,982.13
2014-02-16,20:16:27,-7.5057,44.0,3.2358,982.14
2014-02-16,20:16:32,-7.5363,55.0,3.8298,982.14
2014-02-16,20:16:37,-7.5108,48.0,3.8912,982.13
2014-02-16,20:16:42,-7.5004,64.0,3.3792,982.14
2014-02-16,20:16:47,-7.4593,40.0,3.2973,982.13
2014-02-16,20:16:52,-7.4335,57.0,3.9731,982.13
2014-02-16,20:16:57,-7.4386,42.0,3.0106,982.13
2014-02-16,20:17:02,-7.4438,37.0,3.1334,982.12
2014-02-16,20:17:07,-7.4385,40.0,2.9696,982.13
2014-02-16,20:17:12,-7.454,35.0,3.625,982.16
2014-02-16,20:17:17,-7.4541,49.0,4.3418,982.13
2014-02-16,20:17:22,-7.4335,39.0,3.8707,982.13
2014-02-16,20:17:27,-7.454,60.0,3.2973,982.12
2014-02-16,20:17:32,-7.4179,53.0,2.56,982.14
2014-02-16,20:17:37,-7.3817,66.0,2.2323,982.15
2014-02-16,20:17:42,-7.3869,68.0,2.9696,982.15
2014-02-16,20:17:47,-7.4024,71.0,3.1334,982.14
2014-02-16,20:17:52,-7.4386,62.0,3.1744,982.16
2014-02-16,20:17:57,-7.4899,48.0,3.7683,982.14
2014-02-16,20:18:02,-7.4899,40.0,3.543,982.11
2014-02-16,20:18:07,-7.4593,54.0,3.5635,982.14
2014-02-16,20:18:12,-7.4747,53.0,3.8912,982.13
2014-02-16,20:18:17,-7.4847,40.0,3.8502,982.12
2014-02-16,20:18:22,-7.4901,54.0,3.584,982.11
2014-02-16,20:18:27,-7.5002,62.0,3.1539,982.1
2014-02-16,20:18:32,-7.4955,67.0,3.7478,982.12
2014-02-16,20:18:37,-7.5415,52.0,3.7069,982.12
2014-02-16,20:18:42,-7.5212,47.0,3.6454,982.06
2014-02-16,20:18:47,-7.5158,43.0,3.7478,982.13
2014-02-16,20:18:52,-7.4798,49.0,4.055,982.16
2014-02-16,20:18:57,-7.4798,57.0,3.9322,982.15
2014-02-16,20:19:02,-7.5057,59.0,4.7309,982.13
2014-02-16,20:19:07,-7.4902,62.0,4.649,982.15
2014-02-16,20:19:12,-7.5005,50.0,4.7514,982.15
2014-02-16,20:19:17,-7.5261,57.0,4.0755,982.17
2014-02-16,20:19:22,-7.5725,41.0,3.9731,982.16
2014-02-16,20:19:27,-7.5882,44.0,3.5021,982.16
2014-02-16,20:19:32,-7.588,62.0,2.9901,982.17
2014-02-16,20:19:37,-7.5777,59.0,3.2154,982.14
2014-02-16,20:19:42,-7.5675,41.0,3.113,982.13
2014-02-16,20:19:47,-7.5366,45.0,2.5805,982.11
2014-02-16,20:19:52,-7.5261,25.0,2.6214,982.19
2014-02-16,20:19:57,-7.4852,63.0,2.8877,982.19
2014-02-16,20:20:02,-7.521,71.0,3.625,982.16
2014-02-16,20:20:07,-7.5416,60.0,3.6864,982.13
2014-02-16,20:20:12,-7.5572,61.0,4.137,982.18
2014-02-16,20:20:17,-7.5779,57.0,3.9526,982.19
2014-02-16,20:20:22,-7.588,60.0,4.5466,982.19
2014-02-16,20:20:27,-7.6087,59.0,4.2803,982.19
2014-02-16,20:20:32,-7.6243,51.0,4.2394,982.21
2014-02-16,20:20:37,-7.6398,44.0,3.8707,982.24
2014-02-16,20:20:42,-7.6656,50.0,3.5226,982.21
2014-02-16,20:20:47,-7.6604,49.0,4.0346,982.2
2014-02-16,20:20:52,-7.6604,64.0,4.3418,982.2
2014-02-16,20:20:57,-7.6604,63.0,4.5261,982.22
2014-02-16,20:21:02,-7.6758,68.0,3.9117,982.2
2014-02-16,20:21:07,-7.6964,68.0,3.4816,982.21
2014-02-16,20:21:12,-7.6966,60.0,3.2768,982.17
2014-02-16,20:21:17,-7.6863,61.0,4.0755,982.21
2014-02-16,20:21:22,-7.6656,59.0,3.9731,982.24
2014-02-16,20:21:27,-7.6501,43.0,4.3622,982.24
2014-02-16,20:21:32,-7.6294,57.0,4.137,982.22
2014-02-16,20:21:37,-7.5985,59.0,3.8912,982.25
2014-02-16,20:21:42,-7.5934,63.0,3.5635,982.25
2014-02-16,20:21:47,-7.6139,62.0,3.6454,982.25
2014-02-16,20:21:52,-7.6346,65.0,3.7274,982.22
2014-02-16,20:21:57,-7.6606,61.0,3.8912,982.23
2014-02-16,20:22:02,-7.6604,65.0,3.625,982.25
2014-02-16,20:22:07,-7.6708,58.0,3.8912,982.24
2014-02-16,20:22:12,-7.6656,61.0,4.0755,982.24
2014-02-16,20:22:17,-7.6915,59.0,3.8298,982.26
2014-02-16,20:22:22,-7.7018,62.0,3.584,982.26
2014-02-16,20:22:27,-7.7068,57.0,3.2768,982.24
2014-02-16,20:22:32,-7.7173,48.0,3.2563,982.26
2014-02-16,20:22:37,-7.6553,49.0,3.3997,982.26
2014-02-16,20:22:42,-7.6347,56.0,3.3178,982.29
2014-02-16,20:22:47,-7.583,46.0,3.031,982.27
2014-02-16,20:22:52,-7.5623,54.0,2.7443,982.29
2014-02-16,20:22:57,-7.547,78.0,2.5805,982.27
2014-02-16,20:23:02,-7.5109,35.0,3.2358,982.29
2014-02-16,20:23:07,-7.4645,38.0,2.8877,982.29
2014-02-16,20:23:12,-7.4438,58.0,3.0515,982.3
2014-02-16,20:23:17,-7.4386,69.0,3.2563,982.29
2014-02-16,20:23:22,-7.4231,63.0,2.9696,982.29
2014-02-16,20:23:27,-7.4541,59.0,2.7648,982.3
2014-02-16,20:23:32,-7.5007,31.0,2.9286,982.32
2014-02-16,20:23:37,-7.5159,40.0,3.2768,982.29
2014-02-16,20:23:42,-7.5418,41.0,3.1949,982.26
2014-02-16,20:23:47,-7.5523,46.0,4.1574,982.22
2014-02-16,20:23:52,-7.5523,32.0,4.608,982.3
2014-02-16,20:23:57,-7.5521,39.0,3.8298,982.28
2014-02-16,20:24:02,-7.5521,59.0,3.543,982.29
2014-02-16,20:24:07,-7.552,58.0,3.1744,982.3
2014-02-16,20:24:12,-7.5266,62.0,3.0925,982.32
